,player_name,firstname,surname,firstname_lower,surname_lower,firstname_upper,surname_upper
85,Daniel Ceballos Fernández,Daniel,Ceballos,daniel,ceballos,DANIEL,CEBALLOS
86,Danny Ings,Danny,Ings,danny,ings,DANNY,INGS
87,Danny Rose,Danny,Rose,danny,rose,DANNY,ROSE
88,Danny Ward,Danny,Ward,danny,ward,DANNY,WARD
89,Dan Burn,Dan,Burn,dan,burn,DAN,BURN
90,Dara O'Shea,Dara,O'Shea,dara,o'shea,DARA,O'SHEA
91,Darnell Furlong,Darnell,Furlong,darnell,furlong,DARNELL,FURLONG
92,Darren Randolph,Darren,Randolph,darren,randolph,DARREN,RANDOLPH
93,David Button,David,Button,david,button,DAVID,BUTTON
94,David Luiz Moreira Marinho,David,Luiz,david,luiz,DAVID,LUIZ
95,David Martin,David,Martin,david,martin,DAVID,MARTIN
96,David McGoldrick,David,McGoldrick,david,mcgoldrick,DAVID,MCGOLDRICK
97,Davinson Sánchez,Davinson,Sánchez,davinson,sánchez,DAVINSON,SÁNCHEZ
98,Davy Pröpper,Davy,Pröpper,davy,pröpper,DAVY,PRÖPPER
99,DeAndre Yedlin,DeAndre,Yedlin,deandre,yedlin,DEANDRE,YEDLIN
100,Declan Rice,Declan,Rice,declan,rice,DECLAN,RICE
101,Demarai Gray,Demarai,Gray,demarai,gray,DEMARAI,GRAY
102,Denis Odoi,Denis,Odoi,denis,odoi,DENIS,ODOI
103,Dennis Praet,Dennis,Praet,dennis,praet,DENNIS,PRAET
104,Diogo Jota,Diogo,Jota,diogo,jota,DIOGO,JOTA
105,Divock Origi,Divock,Origi,divock,origi,DIVOCK,ORIGI
106,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,dominic,calvert-lewin,DOMINIC,CALVERT-LEWIN
107,Dwight Gayle,Dwight,Gayle,dwight,gayle,DWIGHT,GAYLE
108,Eberechi Eze,Eberechi,Eze,eberechi,eze,EBERECHI,EZE
109,Edward Nketiah,Edward,Nketiah,edward,nketiah,EDWARD,NKETIAH
110,Emerson Palmieri dos Santos,Emerson,Palmieri,emerson,palmieri,EMERSON,PALMIERI
111,Emile Smith Rowe,Emile,Smith,emile,smith,EMILE,SMITH
